trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,0,-19.99316800703057,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,0,-25.46165692807357,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,5,-57.65196785960714,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,13,-40.46616857774974,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,3,3.56786998657984,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,12,-0.4212176533658454,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-71.8994884278487,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",35,22,22.519484331717855,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,8,-70.83536551304773,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,3,13.62155581519023,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,16,-5.741523313941646,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,15,-4.494149623211458,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,-59.74538332156781,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",25,12,3.4886119231028783,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",30,17,-56.785871465589175,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,10,6.204053493136862,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
